id,host_since,accommodates,bathrooms,bedrooms,beds,bed_type,first_review,instant_bookable,cancellation_policy
24991610,2015-03-03,1,1,1,1,Real Bed,,t,strict_14_with_grace_period
24993862,2014-09-09,2,1,1,1,Real Bed,,t,strict_14_with_grace_period
24994481,2018-03-07,3,1,1,2,Real Bed,2018-05-23,f,flexible
24994672,2015-06-26,4,1,1,2,Real Bed,2018-06-03,f,strict_14_with_grace_period
24994900,2014-09-09,8,2,4,5,Real Bed,2018-06-03,t,strict_14_with_grace_period
24995217,2017-11-20,3,1,1,2,Real Bed,2018-06-30,t,strict_14_with_grace_period
24996091,2015-06-30,4,2,2,2,Real Bed,,f,moderate
24996189,2015-06-26,2,1,0,1,Real Bed,2018-05-29,f,strict_14_with_grace_period
24996423,2015-06-30,4,2.5,2,2,Real Bed,,f,moderate
24996738,2015-06-30,2,1,1,2,Real Bed,,f,moderate
24997173,2015-03-07,3,1,1,1,Real Bed,2018-05-21,t,strict_14_with_grace_period
24997437,2014-02-03,6,2,3,3,Real Bed,,f,strict_14_with_grace_period
24997591,2014-08-18,4,1,2,2,Real Bed,2018-08-20,t,moderate
24997689,2015-03-07,6,2,2,3,Real Bed,2018-10-27,t,strict_14_with_grace_period
24998841,2018-05-11,2,1,1,1,Real Bed,2018-05-19,f,flexible
25002635,2017-10-03,1,1,1,1,Real Bed,,f,strict_14_with_grace_period
25005675,2015-03-22,2,1,1,1,Real Bed,2018-05-19,f,moderate
25014303,2018-05-11,1,1,1,1,Real Bed,,t,flexible
25014657,2016-02-06,3,1,1,2,Real Bed,2018-05-30,f,strict_14_with_grace_period
25015185,2015-07-29,2,1,1,1,Real Bed,2018-05-20,t,moderate
25015471,2015-09-10,6,1,2,3,Real Bed,2018-05-31,f,flexible
25015849,2011-04-29,5,1,2,3,Real Bed,2018-06-19,t,strict_14_with_grace_period
25016315,2015-07-29,2,1,1,1,Real Bed,2018-05-29,t,moderate
25017437,2017-12-21,2,1,1,1,Real Bed,,f,flexible
25017637,2012-07-29,2,1,1,1,Real Bed,,f,moderate
25019094,2018-03-18,3,1,1,1,Real Bed,2018-05-26,t,flexible
25019207,2018-05-12,6,1,3,3,Real Bed,2018-06-11,t,strict_14_with_grace_period
25024967,2014-10-22,4,1,2,1,Real Bed,2018-06-18,t,strict_14_with_grace_period
25025109,2018-05-12,8,2,4,6,Real Bed,,f,moderate
25025734,2014-10-22,4,1,2,1,Real Bed,2018-07-21,t,strict_14_with_grace_period
25026158,2014-10-22,3,1,1,2,Real Bed,2018-07-30,t,strict_14_with_grace_period
25034934,2013-03-12,2,1,1,1,Real Bed,2018-06-17,t,strict_14_with_grace_period
25039800,2015-07-13,2,2,1,1,Real Bed,2018-07-10,f,flexible
25039998,2017-05-05,2,1,0,1,Real Bed,2018-06-08,f,flexible
25040087,2017-07-05,1,1,1,2,Real Bed,2018-06-12,f,flexible
25043034,2018-05-13,3,2.5,2,2,Real Bed,,f,flexible
25044498,2016-04-23,6,1,2,3,Real Bed,2018-05-30,f,strict_14_with_grace_period
25046684,2017-03-12,3,1,0,2,Real Bed,2018-08-11,t,moderate
25054379,2014-09-07,4,1,2,2,Real Bed,2018-05-23,f,moderate
25054871,2017-12-30,4,2,2,2,Real Bed,2018-06-08,t,strict_14_with_grace_period
25055245,2015-08-17,6,1.5,2,3,Real Bed,2018-05-28,t,flexible
25055466,2018-05-13,6,2,2,3,Real Bed,2018-06-27,f,strict_14_with_grace_period
25055472,2018-03-23,4,1,1,1,Real Bed,2018-05-24,t,strict_14_with_grace_period
25055746,2018-03-28,2,1,1,1,Real Bed,2018-06-09,t,strict_14_with_grace_period
25055797,2017-01-09,5,1,2,3,Real Bed,2018-05-26,t,strict_14_with_grace_period
25055868,2018-05-02,4,1,2,2,Real Bed,2018-05-18,t,moderate
25056428,2013-12-31,2,1,2,1,Real Bed,2018-08-31,f,flexible
25056823,2015-06-02,2,1,1,1,Real Bed,2018-05-27,t,flexible
25057180,2018-01-08,2,1.5,1,1,Real Bed,2018-06-24,f,flexible
25057231,2013-06-26,6,3,3,0,Real Bed,2018-05-28,t,strict_14_with_grace_period
25058461,2016-11-11,4,2,3,3,Real Bed,2018-05-21,t,moderate
25058697,2018-05-14,2,2,1,1,Real Bed,,f,flexible
25059075,2016-11-11,4,2,2,2,Real Bed,2018-08-04,t,moderate
