id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,collect_date
16005036,55604528,Lilly,Moreland,-37.76065415,144.9632738,Private room,39,6,7,18/02/18,0.29,9,30,2018-12-07
16005133,102567336,Adrianne,Melbourne,-37.81515462,144.9547547,Entire home/apt,150,1,113,24/11/18,4.51,6,24,2018-12-07
16005502,104052618,Deanna,Yarra Ranges,-37.74793725,145.7058239,Entire home/apt,155,1,2,7/04/17,0.08,1,340,2018-12-07
16005662,6708642,Galit,Glen Eira,-37.88738883,145.0483984,Entire home/apt,108,6,4,24/01/18,0.17,1,0,2018-12-07
16005939,3752754,Jennifer And Harold,Kingston,-37.9872977,145.0723903,Private room,100,1,28,16/11/18,1.16,1,327,2018-12-07
16006877,15651267,Serviced Houses Australia,Hume,-37.61538308,144.9158691,Entire home/apt,235,2,2,12/06/18,0.22,26,345,2018-12-07
16009853,98262886,Sudarshan,Boroondara,-37.82824235,145.0352808,Shared room,30,1,0,,,1,362,2018-12-07
16010191,104095719,Judith,Casey,-37.9806079,145.3154238,Private room,76,1,0,,,1,0,2018-12-07
16010330,50409774,Michele & Lung,Maroondah,-37.82216132,145.2498606,Entire home/apt,235,2,58,14/10/18,2.35,2,203,2018-12-07
16010831,60879865,Mikey,Monash,-37.91099381,145.1279622,Private room,54,3,29,30/11/18,1.33,3,185,2018-12-07
16016910,104155486,Peter,Yarra,-37.82014556,144.9957754,Entire home/apt,550,2,69,4/11/18,2.81,1,8,2018-12-07
16018277,62996946,Nicola,Yarra,-37.81250193,144.9922476,Entire home/apt,195,2,22,29/10/18,1.05,1,25,2018-12-07
16018594,7110520,Tori,Melbourne,-37.81400253,144.9903226,Entire home/apt,109,1,35,14/05/17,1.44,1,0,2018-12-07
16019726,6400630,Chris,Whitehorse,-37.82043133,145.132112,Private room,50,3,18,9/11/18,0.79,1,83,2018-12-07
16019918,15651267,Serviced Houses Australia,Hume,-37.61588198,144.9138072,Entire home/apt,235,2,1,6/01/18,0.09,26,344,2018-12-07
